sale_date,whidx,skuidx,qty
15-07-2019,60181,3338776,1
15-07-2019,65261,3269615,1
15-07-2019,65940,3338776,1
15-07-2019,68500,3269615,2
15-07-2019,70401,3269615,1
16-07-2019,5156,3481968,3
16-07-2019,28422,3338776,1
16-07-2019,28902,3338776,1
16-07-2019,31642,3338776,1
16-07-2019,32722,3338776,1
16-07-2019,34082,3338776,3
16-07-2019,34122,3481968,1
16-07-2019,37203,3338776,7
16-07-2019,39633,3338776,1
16-07-2019,41713,3338776,1
16-07-2019,44612,3338776,4
16-07-2019,46299,3338776,2
16-07-2019,52520,3338776,1
16-07-2019,60181,3338776,1
16-07-2019,65940,3338776,2
16-07-2019,69100,3269615,3
16-07-2019,70360,3269615,2
16-07-2019,83539,3269615,1
17-07-2019,28422,3338776,2
17-07-2019,28902,3338776,2
17-07-2019,30322,3338776,2
17-07-2019,30442,3338776,3
17-07-2019,31642,3338776,1
17-07-2019,32722,3338776,2
17-07-2019,34082,3338776,4
17-07-2019,34122,3481968,1
17-07-2019,37203,3338776,2
17-07-2019,44612,3338776,3
17-07-2019,46022,3338776,1
17-07-2019,52760,3338776,2
17-07-2019,65245,3269615,1
17-07-2019,65261,3269615,1
17-07-2019,65265,3269615,1
17-07-2019,65940,3338776,2
17-07-2019,68500,3269615,2
17-07-2019,69100,3269615,1
18-07-2019,30322,3338776,1
18-07-2019,31642,3338776,0
18-07-2019,34082,3338776,1
18-07-2019,37163,3481968,1
18-07-2019,37203,3338776,1
18-07-2019,39633,3338776,2
18-07-2019,44612,3338776,2
18-07-2019,46299,3338776,2
18-07-2019,65265,3269615,1
18-07-2019,69100,3269615,3
18-07-2019,81490,3481968,1
19-07-2019,5156,3481968,1
19-07-2019,28902,3338776,3
19-07-2019,30322,3338776,1
19-07-2019,31642,3338776,2
19-07-2019,34082,3338776,1
19-07-2019,37163,3481968,2
19-07-2019,38243,3338776,1
19-07-2019,39633,3338776,2
19-07-2019,41713,3338776,2
19-07-2019,44612,3338776,1
19-07-2019,46299,3338776,1
19-07-2019,52520,3338776,1
19-07-2019,52760,3338776,1
19-07-2019,60181,3338776,1
20-07-2019,28902,3338776,4
20-07-2019,30322,3338776,1
20-07-2019,30442,3338776,1
20-07-2019,31642,3338776,2
20-07-2019,32722,3338776,1
20-07-2019,34082,3338776,1
20-07-2019,38243,3338776,2
20-07-2019,41713,3338776,1
20-07-2019,44612,3338776,2
20-07-2019,46299,3338776,1
20-07-2019,52520,3338776,1
20-07-2019,52760,3338776,1
20-07-2019,65265,3269615,3
20-07-2019,68500,3269615,2
20-07-2019,70360,3269615,1
20-07-2019,70401,3269615,1
20-07-2019,81490,3481968,1
20-07-2019,83539,3269615,2
21-07-2019,5156,3481968,1
21-07-2019,28422,3338776,1
21-07-2019,28902,3338776,3
21-07-2019,30322,3338776,1
21-07-2019,31642,3338776,4
21-07-2019,34122,3481968,1
21-07-2019,37163,3481968,1
21-07-2019,37203,3338776,3
21-07-2019,39633,3338776,2
21-07-2019,41713,3338776,1
21-07-2019,46022,3338776,2
21-07-2019,52520,3338776,2
21-07-2019,60181,3338776,1
21-07-2019,65261,3269615,1
21-07-2019,65940,3338776,2
21-07-2019,68500,3269615,2
21-07-2019,69100,3269615,1
22-07-2019,5156,3481968,2
22-07-2019,28422,3338776,1
22-07-2019,34082,3338776,1
22-07-2019,37163,3481968,1
22-07-2019,37203,3338776,2
22-07-2019,38243,3338776,3
22-07-2019,46299,3338776,1
22-07-2019,52760,3338776,2
22-07-2019,65940,3338776,2
22-07-2019,69100,3269615,2
22-07-2019,83539,3269615,1
23-07-2019,5156,3481968,1
23-07-2019,28902,3338776,1
23-07-2019,30442,3338776,1
23-07-2019,31642,3338776,3
23-07-2019,34082,3338776,1
23-07-2019,37203,3338776,3
23-07-2019,39633,3338776,1
23-07-2019,41713,3338776,1
23-07-2019,44612,3338776,2
23-07-2019,46022,3338776,1
23-07-2019,46299,3338776,1
23-07-2019,65245,3269615,1
23-07-2019,65261,3269615,1
23-07-2019,81490,3481968,1
24-07-2019,28422,3338776,2
24-07-2019,30322,3338776,1
24-07-2019,32722,3338776,2
24-07-2019,34082,3338776,3
24-07-2019,37203,3338776,2
24-07-2019,39633,3338776,2
24-07-2019,41713,3338776,1
24-07-2019,44612,3338776,1
24-07-2019,52520,3338776,1
24-07-2019,65265,3269615,2
24-07-2019,81490,3481968,2
25-07-2019,28902,3338776,1
25-07-2019,30322,3338776,1
25-07-2019,30442,3338776,2
